pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
1,0,systemd,/usr/lib/systemd/systemd,root,sleeping,1780306705.1,0.0,15929344,1,-1,73,1,0,linux,594f5de1a2b5eeb3650bc7a77a7e3137abed3a621c7744045eaf52638eb0cede
2,0,kthreadd,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
3,2,pool_workqueue_release,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
4,2,kworker/R-rcu_gp,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
5,2,kworker/R-sync_wq,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
6,2,kworker/R-kvfree_rcu_reclaim,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
7,2,kworker/R-slub_flushwq,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
8,2,kworker/R-netns,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
9,2,kworker/0:0-events,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
10,2,kworker/0:0H-kblockd,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
11,2,kworker/0:1-mm_percpu_wq,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
12,2,kworker/u32:0-ipv6_addrconf,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
13,2,kworker/R-mm_percpu_wq,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
14,2,kworker/u32:1-i915,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
15,2,ksoftirqd/0,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
16,2,rcu_preempt,,root,idle,1780306705.1,0.0,0,1,-1,0,0,0,linux,
17,2,rcub/0,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
18,2,rcu_exp_par_gp_kthread_worker/0,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
19,2,rcu_exp_gp_kthread_worker,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
20,2,migration/0,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
21,2,kprobe-optimizer,,root,sleeping,1780306705.1,0.0,0,1,-1,0,0,0,linux,
22,2,idle_inject/0,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
23,2,cpuhp/0,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
24,2,cpuhp/1,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
25,2,idle_inject/1,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
